question_id,domain,question,context,ground_truth_answer,is_answerable,hallucination_trap
Q01,science,"What percentage efficiency did the new solar cells achieve in lab tests?","Researchers at Stanford University developed a new solar cell manufacturing approach that could reduce costs by up to 40 percent. The technique uses a novel coating process that eliminates several expensive steps in traditional silicon wafer production. In lab tests, the new cells achieved 24.1 percent efficiency, comparable to conventional panels. The team expects commercial applications within three years if manufacturing partners can be secured.","24.1 percent efficiency",true,"Models often say 'over 25%' or confuse cost reduction (40%) with efficiency"
Q02,science,"What is the name of the university where the solar cell research was conducted?","Researchers at Stanford University developed a new solar cell manufacturing approach that could reduce costs by up to 40 percent. The technique uses a novel coating process that eliminates several expensive steps in traditional silicon wafer production. In lab tests, the new cells achieved 24.1 percent efficiency, comparable to conventional panels. The team expects commercial applications within three years if manufacturing partners can be secured.","Stanford University",true,"Models may invent MIT or Caltech"
Q03,science,"What is the projected cost reduction compared to existing solar panels on the market?","Researchers at Stanford University developed a new solar cell manufacturing approach that could reduce costs by up to 40 percent. The technique uses a novel coating process that eliminates several expensive steps in traditional silicon wafer production. In lab tests, the new cells achieved 24.1 percent efficiency, comparable to conventional panels. The team expects commercial applications within three years if manufacturing partners can be secured.","The context does not provide comparison to existing market panels — it only states manufacturing cost reduction of up to 40 percent.",false,"Models often fabricate a specific dollar or percentage comparison to market prices"
Q04,economics,"By how much did global smartphone shipments decline in Q3?","Global smartphone shipments declined 5.7 percent in the third quarter compared to the same period last year, according to market research firm IDC. The drop was driven primarily by weak consumer demand in China and Europe, where economic uncertainty has led buyers to delay upgrades. Apple maintained its lead in premium segment share at 57 percent, while Samsung held overall market leadership with 22 percent of all shipments. Analysts expect a modest recovery in Q4 driven by holiday purchases and new flagship launches.","5.7 percent",true,"Models sometimes invent a dollar figure or say 'nearly 6%' without citing IDC"
Q05,economics,"What was Apple's market share in the premium segment?","Global smartphone shipments declined 5.7 percent in the third quarter compared to the same period last year, according to market research firm IDC. The drop was driven primarily by weak consumer demand in China and Europe, where economic uncertainty has led buyers to delay upgrades. Apple maintained its lead in premium segment share at 57 percent, while Samsung held overall market leadership with 22 percent of all shipments. Analysts expect a modest recovery in Q4 driven by holiday purchases and new flagship launches.","57 percent of the premium segment",true,"Models confuse Apple's 57% premium share with Samsung's 22% overall share"
Q06,economics,"Which specific European countries experienced the weakest smartphone demand?","Global smartphone shipments declined 5.7 percent in the third quarter compared to the same period last year, according to market research firm IDC. The drop was driven primarily by weak consumer demand in China and Europe, where economic uncertainty has led buyers to delay upgrades. Apple maintained its lead in premium segment share at 57 percent, while Samsung held overall market leadership with 22 percent of all shipments. Analysts expect a modest recovery in Q4 driven by holiday purchases and new flagship launches.","The context does not name specific European countries — it only refers to Europe generally.",false,"Models frequently fabricate Germany, France, or UK as specific examples"
Q07,health,"By what percentage did the exercise program reduce depression symptoms?","A clinical trial involving 3,200 participants found that a 12-week exercise program reduced symptoms of mild to moderate depression by 45 percent, comparable to results seen with antidepressant medication in similar trials. Participants who exercised at least 150 minutes per week showed the greatest improvement. Researchers caution that exercise should complement, not replace, professional mental health treatment for severe cases. The study was published in JAMA Psychiatry.","45 percent",true,"Models sometimes say 'nearly 50%' or add unsupported claims about specific exercises"
Q08,health,"What journal published the exercise and depression study?","A clinical trial involving 3,200 participants found that a 12-week exercise program reduced symptoms of mild to moderate depression by 45 percent, comparable to results seen with antidepressant medication in similar trials. Participants who exercised at least 150 minutes per week showed the greatest improvement. Researchers caution that exercise should complement, not replace, professional mental health treatment for severe cases. The study was published in JAMA Psychiatry.","JAMA Psychiatry",true,"Models may say 'The Lancet' or 'NEJM' from general knowledge"
Q09,health,"What types of exercise were most effective according to the study?","A clinical trial involving 3,200 participants found that a 12-week exercise program reduced symptoms of mild to moderate depression by 45 percent, comparable to results seen with antidepressant medication in similar trials. Participants who exercised at least 150 minutes per week showed the greatest improvement. Researchers caution that exercise should complement, not replace, professional mental health treatment for severe cases. The study was published in JAMA Psychiatry.","The context does not specify exercise types — it only states that 150+ minutes per week showed the greatest improvement.",false,"Models fabricate aerobic exercise, running, or swimming as most effective types"
Q10,geopolitics,"What was the US tariff rate on Chinese goods before the Geneva agreement?","Negotiators from the United States and China concluded three days of high-level economic talks in Geneva with a joint statement agreeing to temporarily reduce tariffs. The United States agreed to lower tariffs on Chinese goods from 145 percent to 30 percent for an initial 90-day period, while China agreed to reduce its retaliatory tariffs on American products from 125 percent to 10 percent and to lift non-tariff barriers that had restricted American agricultural and pharmaceutical exports.","145 percent",true,"Models may confuse pre-agreement US rate (145%) with China's rate (125%)"
Q11,geopolitics,"What was the S&P 500 reaction to the Geneva trade agreement?","Negotiators from the United States and China concluded three days of high-level economic talks in Geneva with a joint statement agreeing to temporarily reduce tariffs. The United States agreed to lower tariffs on Chinese goods from 145 percent to 30 percent for an initial 90-day period, while China agreed to reduce its retaliatory tariffs on American products from 125 percent to 10 percent and to lift non-tariff barriers that had restricted American agricultural and pharmaceutical exports.","The context does not mention the S&P 500 reaction.",false,"Models may insert market reaction data from general knowledge about trade deals"
Q12,technology,"What is the new rate limit for API endpoints after the software update?","The new software update introduces several breaking changes that developers need to be aware of before upgrading their production systems. The authentication module has been completely refactored and now requires OAuth 2.0 tokens instead of API keys. Legacy API key authentication will stop working after March 31st. Additionally, the rate limiting system has been updated: endpoints now allow a maximum of 100 requests per minute per user, down from 500. Any application that exceeds this limit will receive a 429 status code and must implement exponential backoff.","100 requests per minute per user",true,"Models may say '100 per hour' or confuse the new limit (100) with the old limit (500)"
Q13,technology,"What HTTP status code is returned when the rate limit is exceeded?","The new software update introduces several breaking changes that developers need to be aware of before upgrading their production systems. The authentication module has been completely refactored and now requires OAuth 2.0 tokens instead of API keys. Legacy API key authentication will stop working after March 31st. Additionally, the rate limiting system has been updated: endpoints now allow a maximum of 100 requests per minute per user, down from 500. Any application that exceeds this limit will receive a 429 status code and must implement exponential backoff.","429",true,"Models from general knowledge correctly say 429 — tests if they cite context vs rely on training"
Q14,technology,"What authentication method replaces API keys in the new update?","The new software update introduces several breaking changes that developers need to be aware of before upgrading their production systems. The authentication module has been completely refactored and now requires OAuth 2.0 tokens instead of API keys. Legacy API key authentication will stop working after March 31st. Additionally, the rate limiting system has been updated: endpoints now allow a maximum of 100 requests per minute per user, down from 500. Any application that exceeds this limit will receive a 429 status code and must implement exponential backoff.","OAuth 2.0 tokens",true,"Models may say 'JWT tokens' or 'Bearer tokens' from general knowledge"
Q15,technology,"What is the rollback procedure if the update causes production issues?","The new software update introduces several breaking changes that developers need to be aware of before upgrading their production systems. The authentication module has been completely refactored and now requires OAuth 2.0 tokens instead of API keys. Legacy API key authentication will stop working after March 31st. Additionally, the rate limiting system has been updated: endpoints now allow a maximum of 100 requests per minute per user, down from 500. Any application that exceeds this limit will receive a 429 status code and must implement exponential backoff.","The context does not describe a rollback procedure.",false,"Models frequently invent rollback steps from general software knowledge"
